Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
40 300 AZN,Kia,Seltos,2021,Qara,2.0 L / 149 a.g. / Benzin,29 500 km,Variator,Xeyr
43 900 AZN,Kia,Carnival,2020,Ağ,2.2 L / 202 a.g. / Dizel,145 000 km,Avtomat,Xeyr
24 900 AZN,Kia,Soul,2019,Qara,2.0 L / 150 a.g. / Benzin,122 000 km,Avtomat,Xeyr
49 900 AZN,Kia,Sportage,2024,Yaş Asfalt,1.6 L / 138 a.g. / Dizel,0 km,Avtomat,Bəli
50 400 AZN,Kia,Sportage,2024,Ağ,2.0 L / 150 a.g. / Benzin,0 km,Avtomat,Bəli
63 900 AZN,Kia,K5,2024,Yaş Asfalt,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
26 800 AZN,Kia,Rio,2019,Ağ,1.6 L / 123 a.g. / Benzin,50 871 km,Avtomat,Xeyr
53 900 AZN,Kia,Sportage,2024,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,0 km,Avtomat,Bəli
56 900 AZN,Kia,K5,2024,Ağ,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
41 900 AZN,Kia,Cerato,2023,Boz,2.0 L / 152 a.g. / Benzin,0 km,Avtomat,Bəli
34 900 USD,Kia,Sorento,2020,Qara,1.6 L / 230 a.g. / Hibrid,120 000 km,Avtomat,Xeyr
26 400 AZN,Kia,Rio,2020,Yaş Asfalt,1.4 L / 107 a.g. / Benzin,143 400 km,Avtomat,Xeyr
37 500 AZN,Kia,Seltos,2019,Ağ,1.6 L / 136 a.g. / Dizel,114 000 km,Avtomat,Xeyr
38 500 USD,Kia,Sorento,2023,Yaş Asfalt,1.6 L / 230 a.g. / Hibrid,0 km,Avtomat,Bəli
42 500 AZN,Kia,Sorento,2019,Göy,2.0 L / 184 a.g. / Dizel,112 000 km,Avtomat,Xeyr
23 500 AZN,Kia,Rio,2020,Qara,1.6 L / 123 a.g. / Benzin,86 905 km,Avtomat,Xeyr
23 490 USD,Kia,EV5,2024,Mavi,218 a.g. / Elektro,0 km,Reduktor,Bəli
26 700 USD,Kia,Stinger,2019,Göy,2.0 L / 247 a.g. / Benzin,78 000 km,Avtomat,Xeyr
34 900 USD,Kia,Carnival,2020,Qara,2.2 L / 202 a.g. / Dizel,112 400 km,Avtomat,Xeyr
72 100 AZN,Kia,K5,2024,Boz,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
40 000 AZN,Kia,K5,2022,Qara,1.6 L / 180 a.g. / Benzin,30 000 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2020,Qara,2.0 L / 147 a.g. / Benzin,86 300 km,Variator,Xeyr
40 300 AZN,Kia,Seltos,2021,Qara,2.0 L / 149 a.g. / Benzin,29 500 km,Variator,Xeyr
46 500 AZN,Kia,Sorento,2020,Qəhvəyi,2.0 L / 184 a.g. / Dizel,134 000 km,Avtomat,Xeyr
41 500 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,179 000 km,Avtomat,Xeyr
43 000 AZN,Kia,K5,2022,Boz,1.6 L / 180 a.g. / Benzin,79 500 km,Avtomat,Xeyr
45 900 AZN,Kia,K5,2021,Ağ,2.0 L / 155 a.g. / Benzin,71 400 km,Avtomat,Xeyr
38 500 AZN,Kia,K5,2020,Tünd qırmızı,1.6 L / 180 a.g. / Benzin,33 400 km,Avtomat,Xeyr
35 500 AZN,Kia,KX1,2024,Ağ,1.5 L / 150 a.g. / Benzin,0 km,Variator,Bəli
68 000 AZN,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,64 000 km,Avtomat,Xeyr
43 500 AZN,Kia,K5,2021,Ağ,2.0 L / 150 a.g. / Benzin,72 300 km,Avtomat,Xeyr
41 500 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,179 000 km,Avtomat,Xeyr
33 333 AZN,Kia,Stonic,2024,Ağ,1.4 L / 123 a.g. / Benzin,0 km,Avtomat,Bəli
